-----------epoch0-----------
--------------------val_loss:0.078602 val_acc:0.6292134831460674
loss:0.075422086 acc:0.6363636363636364
loss:0.098124206 acc:0.6666666666666666
loss:0.0999346 acc:0.5263157894736842
loss:0.09421592 acc:0.7272727272727273
loss:0.1428434 acc:0.24
loss:0.13518238 acc:0.41935483870967744
loss:0.08677657 acc:0.56
loss:0.086843 acc:0.6190476190476191
loss:0.06664028 acc:0.7272727272727273
loss:0.0817227 acc:0.5714285714285714
--------------------val_loss:0.080110386 val_acc:0.6043956043956044
loss:0.075705335 acc:0.625
loss:0.088162735 acc:0.6153846153846154
loss:0.10284877 acc:0.52
loss:0.09804439 acc:0.6818181818181818
loss:0.08813342 acc:0.5238095238095238
loss:0.07744134 acc:0.6363636363636364
loss:0.11668189 acc:0.5
loss:0.058504663 acc:0.7368421052631579
loss:0.112003624 acc:0.5172413793103449
loss:0.18383035 acc:0.38461538461538464
--------------------val_loss:0.08256414 val_acc:0.6344086021505376
loss:0.09953396 acc:0.5161290322580645
loss:0.105314754 acc:0.5
loss:0.08389235 acc:0.6818181818181818
loss:0.121451594 acc:0.45
loss:0.060911275 acc:0.6521739130434783
loss:0.059444744 acc:0.7
loss:0.054081857 acc:0.7
loss:0.07714015 acc:0.6818181818181818
loss:0.122892454 acc:0.4166666666666667
loss:0.10634879 acc:0.56
